2000-01-15,100,The Quittin' Kind,Joe Diffie
2000-02-15,1,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees
2000-02-15,2,I Knew I Loved You,Savage Garden
2000-02-15,3,What A Girl Wants,Christina Aguilera
2000-02-15,4,Get It On Tonite,Montell Jordan
2000-02-15,5,Smooth,Santana Featuring Rob Thomas
2000-02-15,6,All The Small Things,Blink-182
2000-02-15,7,Hot Boyz,Missy "Misdemeanor" Elliott Featuring NAS, EVE & Q-Tip
2000-02-15,8,Maria Maria,Santana Featuring The Product G&B
2000-02-15,9,Bring It All To Me,Blaque
2000-02-15,10,Show Me The Meaning Of Being Lonely,Backstreet Boys
2000-02-15,11,That's The Way It Is,Celine Dion
2000-02-15,12,Back At One,Brian McKnight
2000-02-15,13,Blue (Da Ba Dee),Eiffel 65
2000-02-15,14,Bye Bye Bye,'N Sync
2000-02-15,15,Take A Picture,Filter
2000-02-15,16,Say My Name,Destiny's Child
2000-02-15,17,I Need To Know,Marc Anthony
2000-02-15,18,Amazed,Lonestar
2000-02-15,19,It Feels So Good,Sonique
2000-02-15,20,Then The Morning Comes,Smash Mouth
2000-02-15,21,Breathe,Faith Hill
2000-02-15,22,My Love Is Your Love,Whitney Houston
2000-02-15,23,Never Let You Go,Third Eye Blind
2000-02-15,24,He Can't Love U,Jagged Edge
2000-02-15,25,Untitled (How Does It Feel),D'Angelo
2000-02-15,26,Thong Song,Sisqo
2000-02-15,27,U Know What's Up,Donell Jones
2000-02-15,28,I Wanna Know,Joe
2000-02-15,29,Falls Apart,Sugar Ray
2000-02-15,30,Meet Virginia,Train
2000-02-15,31,Cowboy Take Me Away,Dixie Chicks
2000-02-15,32, My Best Friend,Tim McGraw
2000-02-15,33,Shake Your Bon-Bon,Ricky Martin
2000-02-15, 34,Love Is Blind,Eve Featuring Faith Evans
2000-02-15,35,Learn To Fly,Foo Fighters
2000-02-15,36,Forgot About Dre,Dr. Dre Featuring Eminem
2000-02-15,37,Back At One,Mark Wills
2000-02-15,38,One Night Stand,J-Shin Featuring LaTocha Scott
2000-02-15,39,Smile,Lonestar
2000-02-15,40,Everything You Want,Vertical Horizon
2000-02-15,41,I Don't Wanna,Aaliyah
2000-02-15,42,I Wanna Love You Forever,Jessica Simpson
2000-02-15,43,American Pie,Madonna
2000-02-15,44,I Like It,Sammie
2000-02-15,45,The Best Day,George Strait
2000-02-15,46,Sexual (Li Da Di),Amber
2000-02-15,47,G'd Up,Snoop Dogg Presents Tha Eastsidaz
2000-02-15, 48,Hanginaround,Counting Crows
2000-02-15,49,Black Balloon,Goo Goo Dolls
2000-02-15,50,What Do You Say,Reba
2000-02-15,51,Rhythm Divine,Enrique Iglesias
2000-02-15,52,From The Bottom Of My Broken Heart,Britney Spears
2000-02-15,53,How Do You Like Me Now?!,Toby Keith
2000-02-15,54,Got Your Money,Ol' Dirty Bastard Featuring Kelis
2000-02-15,55,Dear Lie,TLC
2000-02-15,56
 ,Big Deal,LeAnn Rimes
2000-02-15,57,Got To Get It,Sisqo Featuring Make It Hot
2000-02-15,58,24/7,Kevon Edmonds
2000-02-15,59,Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe
2000-02-15,60,The Great Beyond,R.E.M.
2000-02-15,61,Lessons Learned,Tracy Lawrence
2000-02-15,62, He Didn't Have To Be,Brad Paisley
2000-02-15,63,Only God Knows Why,Kid Rock
2000-02-15,64,None Of Ur Friends Business,Ginuwine
2000-02-15,65,Love's The Only House,Martina McBride
2000-02-15,66,Waiting For Tonight,Jennifer Lopez
2000-02-15,67,No More Rain (In This Cloud),Angie Stone
2000-02-15,68,I Try,Macy Gray
2000-02-15,69,Another Dumb Blonde,Hoku
2000-02-15,70,This Woman Needs,SHeDAISY
